Quantity,Item
1,3d Printed Case
1,Seeed XIAO RP2040
1,EC11 Rotary Encoder
4,Cherry MX Switches
4,Blank DSA Keycaps
2,SK6812 MINI-E LEDs
4,M3x16mm screws
4,M3x5mx4mm heatset inserts
